,Pos,Age,Starts,Player,urls,scouting_url,position_group
0,DF,26.0,36,Catena,https://fbref.com/en/players/274ab13c/Catena,https://fbref.com/en/players/274ab13c/scout/365_euro/Catena-Scouting-Report,Defender
1,DF,29.0,35,Ivan Balliu,https://fbref.com/en/players/cee88597/Ivan-Balliu,https://fbref.com/en/players/cee88597/scout/365_euro/Ivan-Balliu-Scouting-Report,Defender
2,DF,21.0,34,Francisco Garcia,https://fbref.com/en/players/7226539b/Francisco-Garcia,https://fbref.com/en/players/7226539b/scout/365_euro/Francisco-Garcia-Scouting-Report,Defender
3,FW,28.0,34,Alvaro Garcia,https://fbref.com/en/players/90bbd822/Alvaro-Garcia,https://fbref.com/en/players/90bbd822/scout/365_euro/Alvaro-Garcia-Scouting-Report,Forwards
4,MF,24.0,32,Santi Comesana,https://fbref.com/en/players/5ae499d0/Santi-Comesana,https://fbref.com/en/players/5ae499d0/scout/365_euro/Santi-Comesana-Scouting-Report,Central Midfielders
5,GK,27.0,30,Stole Dimitrievski,https://fbref.com/en/players/fc70e345/Stole-Dimitrievski,https://fbref.com/en/players/fc70e345/scout/365_euro/Stole-Dimitrievski-Scouting-Report,GK
6,MF,26.0,29,Oscar Valentin,https://fbref.com/en/players/592f3158/Oscar-Valentin,https://fbref.com/en/players/592f3158/scout/365_euro/Oscar-Valentin-Scouting-Report,Central Midfielders
7,"FW,MF",26.0,27,Isaac Palazon Camacho,https://fbref.com/en/players/49dbab27/Isaac-Palazon-Camacho,https://fbref.com/en/players/49dbab27/scout/365_euro/Isaac-Palazon-Camacho-Scouting-Report,Attacking Midfielders
8,MF,33.0,24,Oscar Trejo,https://fbref.com/en/players/fc647b34/Oscar-Trejo,https://fbref.com/en/players/fc647b34/scout/365_euro/Oscar-Trejo-Scouting-Report,Central Midfielders
9,DF,30.0,21,Esteban Saveljich,https://fbref.com/en/players/79f2a5f5/Esteban-Saveljich,https://fbref.com/en/players/79f2a5f5/scout/365_euro/Esteban-Saveljich-Scouting-Report,Defender
10,FW,30.0,20,Sergi Guardiola,https://fbref.com/en/players/32974271/Sergi-Guardiola,https://fbref.com/en/players/32974271/scout/365_euro/Sergi-Guardiola-Scouting-Report,Forwards
11,"FW,MF",23.0,16,Randy Ntekja,https://fbref.com/en/players/a6103274/Randy-Ntekja,https://fbref.com/en/players/a6103274/scout/365_euro/Randy-Ntekja-Scouting-Report,Attacking Midfielders
12,MF,25.0,13,Unai Lopez,https://fbref.com/en/players/88050721/Unai-Lopez,https://fbref.com/en/players/88050721/scout/365_euro/Unai-Lopez-Scouting-Report,Central Midfielders
13,MF,27.0,11,Pathe Ciss,https://fbref.com/en/players/9a0408b6/Pathe-Ciss,https://fbref.com/en/players/9a0408b6/scout/365_euro/Pathe-Ciss-Scouting-Report,Central Midfielders
14,DF,25.0,11,Nikola Maras,https://fbref.com/en/players/b9d0446f/Nikola-Maras,https://fbref.com/en/players/b9d0446f/scout/365_euro/Nikola-Maras-Scouting-Report,Defender
15,FW,35.0,8,Radamel Falcao,https://fbref.com/en/players/66116290/Radamel-Falcao,https://fbref.com/en/players/66116290/scout/365_euro/Radamel-Falcao-Scouting-Report,Forwards
16,DF,34.0,8,Mario Suarez,https://fbref.com/en/players/7106f0a0/Mario-Suarez,https://fbref.com/en/players/7106f0a0/scout/365_euro/Mario-Suarez-Scouting-Report,Defender
17,"GK,MF",23.0,8,Luca Zidane,https://fbref.com/en/players/c818c4d9/Luca-Zidane,https://fbref.com/en/players/c818c4d9/scout/365_euro/Luca-Zidane-Scouting-Report,unidentified position
18,"FW,MF",31.0,6,Bebe,https://fbref.com/en/players/d8712bf9/Bebe,https://fbref.com/en/players/d8712bf9/scout/365_euro/Bebe-Scouting-Report,Attacking Midfielders
19,"DF,FW",27.0,5,Kevin Rodrigues,https://fbref.com/en/players/f1bed920/Kevin-Rodrigues,https://fbref.com/en/players/f1bed920/scout/365_euro/Kevin-Rodrigues-Scouting-Report,Wing-Back
20,"DF,FW",22.0,5,Mario Hernandez,https://fbref.com/en/players/90162357/Mario-Hernandez,https://fbref.com/en/players/90162357/scout/365_euro/Mario-Hernandez-Scouting-Report,Wing-Back
21,FW,26.0,3,Martin Merquelanz,https://fbref.com/en/players/ddd5348b/Martin-Merquelanz,https://fbref.com/en/players/ddd5348b/scout/365_euro/Martin-Merquelanz-Scouting-Report,Forwards
22,"FW,MF",27.0,1,Mamadou Sylla,https://fbref.com/en/players/e5ec95f8/Mamadou-Sylla,https://fbref.com/en/players/e5ec95f8/scout/365_euro/Mamadou-Sylla-Scouting-Report,Attacking Midfielders
23,"FW,MF",22.0,1,Andres Martin,https://fbref.com/en/players/2ae30661/Andres-Martin,https://fbref.com/en/players/2ae30661/scout/365_euro/Andres-Martin-Scouting-Report,Attacking Midfielders
24,MF,25.0,0,Jose Pozo,https://fbref.com/en/players/fc8b614b/Jose-Pozo,https://fbref.com/en/players/fc8b614b/scout/365_euro/Jose-Pozo-Scouting-Report,Central Midfielders
25,FW,20.0,0,Alejandro Asensio,https://fbref.com/en/players/b4c23f36/Alejandro-Asensio,https://fbref.com/en/players/b4c23f36/scout/365_euro/Alejandro-Asensio-Scouting-Report,Forwards
26,FW,21.0,0,Alvaro Aguirre,https://fbref.com/en/players/93b054dc/Alvaro-Aguirre,https://fbref.com/en/players/93b054dc/scout/365_euro/Alvaro-Aguirre-Scouting-Report,Forwards
27,MF,30.0,0,Yacine Qasmi,https://fbref.com/en/players/3b3cbebb/Yacine-Qasmi,https://fbref.com/en/players/3b3cbebb/scout/365_euro/Yacine-Qasmi-Scouting-Report,Central Midfielders
28,GK,25.0,0,Ivan Arboleda,https://fbref.com/en/players/f8cfae1f/Ivan-Arboleda,https://fbref.com/en/players/f8cfae1f/scout/365_euro/Ivan-Arboleda-Scouting-Report,GK
29,DF,20.0,0,Jorge Moreno,https://fbref.com/en/players/1f875ef8/Jorge-Moreno,https://fbref.com/en/players/1f875ef8/scout/365_euro/Jorge-Moreno-Scouting-Report,Defender
30,FW,22.0,0,Sergio Moreno,https://fbref.com/en/players/014b57f5/Sergio-Moreno,https://fbref.com/en/players/014b57f5/scout/365_euro/Sergio-Moreno-Scouting-Report,Forwards
31,GK,20.0,0,Morro,https://fbref.com/en/players/117cd0a8/Morro,https://fbref.com/en/players/117cd0a8/scout/365_euro/Morro-Scouting-Report,GK
32,MF,20.0,0,Manuel Navarro,https://fbref.com/en/players/5c103e63/Manuel-Navarro,https://fbref.com/en/players/5c103e63/scout/365_euro/Manuel-Navarro-Scouting-Report,Central Midfielders
33,GK,20.0,0,Adrian Quintela,https://fbref.com/en/players/86e0d803/Adrian-Quintela,https://fbref.com/en/players/86e0d803/scout/365_euro/Adrian-Quintela-Scouting-Report,GK
34,DF,20.0,0,Iker Recio,https://fbref.com/en/players/84b7090a/Iker-Recio,https://fbref.com/en/players/84b7090a/scout/365_euro/Iker-Recio-Scouting-Report,Defender
0,DF,30.0,37,Leandro Cabrera,https://fbref.com/en/players/69cbc8b6/Leandro-Cabrera,https://fbref.com/en/players/69cbc8b6/scout/365_euro/Leandro-Cabrera-Scouting-Report,Defender
1,GK,39.0,36,Diego Lopez,https://fbref.com/en/players/73683fa9/Diego-Lopez,https://fbref.com/en/players/73683fa9/scout/365_euro/Diego-Lopez-Scouting-Report,GK
2,MF,27.0,36,Sergi Darder,https://fbref.com/en/players/070a3904/Sergi-Darder,https://fbref.com/en/players/070a3904/scout/365_euro/Sergi-Darder-Scouting-Report,Central Midfielders
3,FW,26.0,33,Raul de Tomas,https://fbref.com/en/players/02ef8778/Raul-de-Tomas,https://fbref.com/en/players/02ef8778/scout/365_euro/Raul-de-Tomas-Scouting-Report,Forwards
4,DF,29.0,31,Sergi Gomez,https://fbref.com/en/players/bc6f5f06/Sergi-Gomez,https://fbref.com/en/players/bc6f5f06/scout/365_euro/Sergi-Gomez-Scouting-Report,Defender
5,DF,23.0,31,Pedrosa,https://fbref.com/en/players/112521d1/Pedrosa,https://fbref.com/en/players/112521d1/scout/365_euro/Pedrosa-Scouting-Report,Defender
6,"FW,MF",23.0,26,Javi Puado,https://fbref.com/en/players/2683eda7/Javi-Puado,https://fbref.com/en/players/2683eda7/scout/365_euro/Javi-Puado-Scouting-Report,Attacking Midfielders
7,"FW,MF",29.0,24,Adri Embarba,https://fbref.com/en/players/db8f0eba/Adri-Embarba,https://fbref.com/en/players/db8f0eba/scout/365_euro/Adri-Embarba-Scouting-Report,Attacking Midfielders
8,"DF,MF",31.0,21,Aleix Vidal,https://fbref.com/en/players/04965583/Aleix-Vidal,https://fbref.com/en/players/04965583/scout/365_euro/Aleix-Vidal-Scouting-Report,Defender
9,DF,24.0,20,Oscar Gil,https://fbref.com/en/players/6652cf96/Oscar-Gil,https://fbref.com/en/players/6652cf96/scout/365_euro/Oscar-Gil-Scouting-Report,Defender
10,MF,23.0,19,Yangel Herrera,https://fbref.com/en/players/e778654a/Yangel-Herrera,https://fbref.com/en/players/e778654a/scout/365_euro/Yangel-Herrera-Scouting-Report,Central Midfielders
11,MF,23.0,18,Keidi Bare,https://fbref.com/en/players/03049c8c/Keidi-Bare,https://fbref.com/en/players/03049c8c/scout/365_euro/Keidi-Bare-Scouting-Report,Central Midfielders
12,"MF,FW",23.0,14,Oscar Melendo,https://fbref.com/en/players/379652be/Oscar-Melendo,https://fbref.com/en/players/379652be/scout/365_euro/Oscar-Melendo-Scouting-Report,Attacking Midfielders
13,DF,25.0,13,Fernando Calero,https://fbref.com/en/players/41b3069f/Fernando-Calero,https://fbref.com/en/players/41b3069f/scout/365_euro/Fernando-Calero-Scouting-Report,Defender
14,"MF,FW",26.0,13,Tonny Vilhena,https://fbref.com/en/players/c7069d87/Tonny-Vilhena,https://fbref.com/en/players/c7069d87/scout/365_euro/Tonny-Vilhena-Scouting-Report,Attacking Midfielders
15,MF,22.0,11,Manu Morlanes,https://fbref.com/en/players/a0255c67/Manu-Morlanes,https://fbref.com/en/players/a0255c67/scout/365_euro/Manu-Morlanes-Scouting-Report,Central Midfielders
16,"MF,DF",31.0,8,David Lopez,https://fbref.com/en/players/f03f284b/David-Lopez,https://fbref.com/en/players/f03f284b/scout/365_euro/David-Lopez-Scouting-Report,Defensive-Midfielders
17,"MF,FW",20.0,7,Nico Ribaudo,https://fbref.com/en/players/ce8039aa/Nico-Ribaudo,https://fbref.com/en/players/ce8039aa/scout/365_euro/Nico-Ribaudo-Scouting-Report,Attacking Midfielders
18,"FW,MF",27.0,4,Loren Moron,https://fbref.com/en/players/3aa4a3be/Loren-Moron,https://fbref.com/en/players/3aa4a3be/scout/365_euro/Loren-Moron-Scouting-Report,Attacking Midfielders
19,"FW,MF",23.0,4,Landry Dimata,https://fbref.com/en/players/b5f63410/Landry-Dimata,https://fbref.com/en/players/b5f63410/scout/365_euro/Landry-Dimata-Scouting-Report,Attacking Midfielders
20,"FW,MF",29.0,4,Wu Lei,https://fbref.com/en/players/e3fabb0a/Wu-Lei,https://fbref.com/en/players/e3fabb0a/scout/365_euro/Wu-Lei-Scouting-Report,Attacking Midfielders
21,MF,31.0,3,Fran Merida,https://fbref.com/en/players/0e50f929/Fran-Merida,https://fbref.com/en/players/0e50f929/scout/365_euro/Fran-Merida-Scouting-Report,Central Midfielders
22,"DF,MF",32.0,1,Didac Vila,https://fbref.com/en/players/bad38a94/Didac-Vila,https://fbref.com/en/players/bad38a94/scout/365_euro/Didac-Vila-Scouting-Report,Defender
23,DF,20.0,1,Ruben,https://fbref.com/en/players/35d4f151/Ruben,https://fbref.com/en/players/35d4f151/scout/365_euro/Ruben-Scouting-Report,Defender
24,GK,31.0,1,Oier Olazabal,https://fbref.com/en/players/b5bdf144/Oier-Olazabal,https://fbref.com/en/players/b5bdf144/scout/365_euro/Oier-Olazabal-Scouting-Report,GK
25,GK,20.0,1,Joan Garcia,https://fbref.com/en/players/87b498b0/Joan-Garcia,https://fbref.com/en/players/87b498b0/scout/365_euro/Joan-Garcia-Scouting-Report,GK
26,DF,25.0,1,Miguel Juan Llambrich,https://fbref.com/en/players/d83f09ff/Miguel-Juan-Llambrich,https://fbref.com/en/players/d83f09ff/scout/365_euro/Miguel-Juan-Llambrich-Scouting-Report,Defender
27,DF,19.0,0,Lluis Recasens,https://fbref.com/en/players/c31ea173/Lluis-Recasens,https://fbref.com/en/players/c31ea173/scout/365_euro/Lluis-Recasens-Scouting-Report,Defender
28,MF,20.0,0,Daniel Villahermosa,https://fbref.com/en/players/de903ae2/Daniel-Villahermosa,https://fbref.com/en/players/de903ae2/scout/365_euro/Daniel-Villahermosa-Scouting-Report,Central Midfielders
29,"MF,DF",20.0,0,Jofre,https://fbref.com/en/players/030ef8d6/Jofre,https://fbref.com/en/players/030ef8d6/scout/365_euro/Jofre-Scouting-Report,Defensive-Midfielders
30,MF,19.0,0,Gori,https://fbref.com/en/players/f3451c66/Gori,https://fbref.com/en/players/f3451c66/scout/365_euro/Gori-Scouting-Report,Central Midfielders
31,"MF,DF",26.0,0,Alvaro Vadillo,https://fbref.com/en/players/61b62b33/Alvaro-Vadillo,https://fbref.com/en/players/61b62b33/scout/365_euro/Alvaro-Vadillo-Scouting-Report,Defensive-Midfielders
32,DF,21.0,0,Victor Perea,https://fbref.com/en/players/b7de5bad/Victor-Perea,https://fbref.com/en/players/b7de5bad/scout/365_euro/Victor-Perea-Scouting-Report,Defender
33,FW,16.0,0,Luca Koleosho,https://fbref.com/en/players/fc076f78/Luca-Koleosho,https://fbref.com/en/players/fc076f78/scout/365_euro/Luca-Koleosho-Scouting-Report,Forwards
34,DF,21.0,0,Alvaro Garcia,https://fbref.com/en/players/11184fa7/Alvaro-Garcia,https://fbref.com/en/players/11184fa7/scout/365_euro/Alvaro-Garcia-Scouting-Report,Defender
35,DF,18.0,0,Aleix Gorjon,https://fbref.com/en/players/24ade474/Aleix-Gorjon,https://fbref.com/en/players/24ade474/scout/365_euro/Aleix-Gorjon-Scouting-Report,Defender
36,MF,17.0,0,Roger Martinez,https://fbref.com/en/players/937c6ae6/Roger-Martinez,https://fbref.com/en/players/937c6ae6/scout/365_euro/Roger-Martinez-Scouting-Report,Central Midfielders
37,DF,20.0,0,Alejandro Perez,https://fbref.com/en/players/6f990683/Alejandro-Perez,https://fbref.com/en/players/6f990683/scout/365_euro/Alejandro-Perez-Scouting-Report,Defender
0,GK,29.0,36,Thibaut Courtois,https://fbref.com/en/players/1840e36d/Thibaut-Courtois,https://fbref.com/en/players/1840e36d/scout/365_euro/Thibaut-Courtois-Scouting-Report,GK
1,DF,23.0,34,Eder Militao,https://fbref.com/en/players/2784f898/Eder-Militao,https://fbref.com/en/players/2784f898/scout/365_euro/Eder-Militao-Scouting-Report,Defender
2,FW,33.0,31,Karim Benzema,https://fbref.com/en/players/70d74ece/Karim-Benzema,https://fbref.com/en/players/70d74ece/scout/365_euro/Karim-Benzema-Scouting-Report,Forwards
3,MF,29.0,31,Casemiro,https://fbref.com/en/players/4d224fe8/Casemiro,https://fbref.com/en/players/4d224fe8/scout/365_euro/Casemiro-Scouting-Report,Central Midfielders
4,FW,21.0,30,Vinicius Junior,https://fbref.com/en/players/7111d552/Vinicius-Junior,https://fbref.com/en/players/7111d552/scout/365_euro/Vinicius-Junior-Scouting-Report,Forwards
5,DF,29.0,30,David Alaba,https://fbref.com/en/players/05439de2/David-Alaba,https://fbref.com/en/players/05439de2/scout/365_euro/David-Alaba-Scouting-Report,Defender
6,MF,31.0,25,Toni Kroos,https://fbref.com/en/players/6ce1f46f/Toni-Kroos,https://fbref.com/en/players/6ce1f46f/scout/365_euro/Toni-Kroos-Scouting-Report,Central Midfielders
7,MF,35.0,25,Luka Modric,https://fbref.com/en/players/6025fab1/Luka-Modric,https://fbref.com/en/players/6025fab1/scout/365_euro/Luka-Modric-Scouting-Report,Central Midfielders
8,DF,30.0,20,Lucas Vazquez,https://fbref.com/en/players/fd51b456/Lucas-Vazquez,https://fbref.com/en/players/fd51b456/scout/365_euro/Lucas-Vazquez-Scouting-Report,Defender
9,DF,26.0,20,Ferland Mendy,https://fbref.com/en/players/3cefcaef/Ferland-Mendy,https://fbref.com/en/players/3cefcaef/scout/365_euro/Ferland-Mendy-Scouting-Report,Defender
10,MF,23.0,19,Federico Valverde,https://fbref.com/en/players/0959c2a2/Federico-Valverde,https://fbref.com/en/players/0959c2a2/scout/365_euro/Federico-Valverde-Scouting-Report,Central Midfielders
11,"FW,MF",25.0,19,Marco Asensio,https://fbref.com/en/players/45af8a54/Marco-Asensio,https://fbref.com/en/players/45af8a54/scout/365_euro/Marco-Asensio-Scouting-Report,Attacking Midfielders
12,DF,31.0,17,Nacho,https://fbref.com/en/players/2946f9a1/Nacho,https://fbref.com/en/players/2946f9a1/scout/365_euro/Nacho-Scouting-Report,Defender
13,DF,29.0,17,Dani Carvajal,https://fbref.com/en/players/4958bfb2/Dani-Carvajal,https://fbref.com/en/players/4958bfb2/scout/365_euro/Dani-Carvajal-Scouting-Report,Defender
14,FW,20.0,16,Rodrygo,https://fbref.com/en/players/8f5e92a6/Rodrygo,https://fbref.com/en/players/8f5e92a6/scout/365_euro/Rodrygo-Scouting-Report,Forwards
15,MF,18.0,12,Eduardo Camavinga,https://fbref.com/en/players/7b9c2d84/Eduardo-Camavinga,https://fbref.com/en/players/7b9c2d84/scout/365_euro/Eduardo-Camavinga-Scouting-Report,Central Midfielders
16,"FW,MF",30.0,7,Eden Hazard,https://fbref.com/en/players/a39bb753/Eden-Hazard,https://fbref.com/en/players/a39bb753/scout/365_euro/Eden-Hazard-Scouting-Report,Attacking Midfielders
17,DF,33.0,4,Marcelo,https://fbref.com/en/players/603116a7/Marcelo,https://fbref.com/en/players/603116a7/scout/365_euro/Marcelo-Scouting-Report,Defender
18,DF,24.0,4,Jesus Vallejo,https://fbref.com/en/players/c2111b45/Jesus-Vallejo,https://fbref.com/en/players/c2111b45/scout/365_euro/Jesus-Vallejo-Scouting-Report,Defender
19,FW,32.0,4,Gareth Bale,https://fbref.com/en/players/a58bb1e1/Gareth-Bale,https://fbref.com/en/players/a58bb1e1/scout/365_euro/Gareth-Bale-Scouting-Report,Forwards
20,FW,27.0,3,Mariano,https://fbref.com/en/players/5c4dc0ff/Mariano,https://fbref.com/en/players/5c4dc0ff/scout/365_euro/Mariano-Scouting-Report,Forwards
21,DF,20.0,3,Miguel Gutierrez,https://fbref.com/en/players/7e98cff1/Miguel-Gutierrez,https://fbref.com/en/players/7e98cff1/scout/365_euro/Miguel-Gutierrez-Scouting-Report,Defender
22,MF,24.0,2,Dani Ceballos,https://fbref.com/en/players/c0617e2b/Dani-Ceballos,https://fbref.com/en/players/c0617e2b/scout/365_euro/Dani-Ceballos-Scouting-Report,Central Midfielders
23,"MF,FW",29.0,2,Isco,https://fbref.com/en/players/a0b4bb3e/Isco,https://fbref.com/en/players/a0b4bb3e/scout/365_euro/Isco-Scouting-Report,Attacking Midfielders
24,GK,22.0,2,Andriy Lunin,https://fbref.com/en/players/3061e1ec/Andriy-Lunin,https://fbref.com/en/players/3061e1ec/scout/365_euro/Andriy-Lunin-Scouting-Report,GK
25,FW,23.0,1,Luka Jovic,https://fbref.com/en/players/4d8cd038/Luka-Jovic,https://fbref.com/en/players/4d8cd038/scout/365_euro/Luka-Jovic-Scouting-Report,Forwards
26,MF,21.0,0,Blanco,https://fbref.com/en/players/506daeac/Blanco,https://fbref.com/en/players/506daeac/scout/365_euro/Blanco-Scouting-Report,Central Midfielders
27,"MF,DF",19.0,0,Peter Gonzalez,https://fbref.com/en/players/1ccd3dae/Peter-Gonzalez,https://fbref.com/en/players/1ccd3dae/scout/365_euro/Peter-Gonzalez-Scouting-Report,Defensive-Midfielders
28,DF,20.0,0,Mario Gila,https://fbref.com/en/players/9c435456/Mario-Gila,https://fbref.com/en/players/9c435456/scout/365_euro/Mario-Gila-Scouting-Report,Defender
29,DF,20.0,0,Sergio Santos,https://fbref.com/en/players/cf59e05f/Sergio-Santos,https://fbref.com/en/players/cf59e05f/scout/365_euro/Sergio-Santos-Scouting-Report,Defender
30,FW,20.0,0,Latasa,https://fbref.com/en/players/2bea832e/Latasa,https://fbref.com/en/players/2bea832e/scout/365_euro/Latasa-Scouting-Report,Forwards
31,GK,20.0,0,Toni Fuidias,https://fbref.com/en/players/33d2c795/Toni-Fuidias,https://fbref.com/en/players/33d2c795/scout/365_euro/Toni-Fuidias-Scouting-Report,GK
32,GK,20.0,0,Luis Lopez,https://fbref.com/en/players/ccb491d0/Luis-Lopez,https://fbref.com/en/players/ccb491d0/scout/365_euro/Luis-Lopez-Scouting-Report,GK
33,DF,25.0,0,Alvaro Odriozola,https://fbref.com/en/players/1d1691ad/Alvaro-Odriozola,https://fbref.com/en/players/1d1691ad/scout/365_euro/Alvaro-Odriozola-Scouting-Report,Defender
34,GK,17.0,0,Diego Pineiro,https://fbref.com/en/players/ef6a4afe/Diego-Pineiro,https://fbref.com/en/players/ef6a4afe/scout/365_euro/Diego-Pineiro-Scouting-Report,GK
35,DF,19.0,0,Rafa,https://fbref.com/en/players/3239a8ed/Rafa,https://fbref.com/en/players/3239a8ed/scout/365_euro/Rafa-Scouting-Report,Defender
0,GK,28.0,38,David Soria,https://fbref.com/en/players/8f8c6934/David-Soria,https://fbref.com/en/players/8f8c6934/scout/365_euro/David-Soria-Scouting-Report,GK
1,DF,29.0,35,Djene,https://fbref.com/en/players/a4971d84/Djene,https://fbref.com/en/players/a4971d84/scout/365_euro/Djene-Scouting-Report,Defender
2,MF,26.0,34,Nemanja Maksimovic,https://fbref.com/en/players/00b28772/Nemanja-Maksimovic,https://fbref.com/en/players/00b28772/scout/365_euro/Nemanja-Maksimovic-Scouting-Report,Central Midfielders
3,FW,24.0,33,Enes Unal,https://fbref.com/en/players/f8eca1b6/Enes-Unal,https://fbref.com/en/players/f8eca1b6/scout/365_euro/Enes-Unal-Scouting-Report,Forwards
4,DF,23.0,32,Mathias Olivera,https://fbref.com/en/players/41c12f75/Mathias-Olivera,https://fbref.com/en/players/41c12f75/scout/365_euro/Mathias-Olivera-Scouting-Report,Defender
5,DF,33.0,31,Damian Suarez,https://fbref.com/en/players/ba5004e1/Damian-Suarez,https://fbref.com/en/players/ba5004e1/scout/365_euro/Damian-Suarez-Scouting-Report,Defender
